horas,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM25,PMCO,SO2,RH,TMP,WSP,WDR,PM10
55,-0.021378133170821073,-0.005747404783562239,0.10838877262173856,0.1650017837625495,0.14431491747786218,0.2628163071816428,0.20224619939642213,-0.07024823470263211,0.22649353993772117,0.24603063158401733,0.18513721084140572,-0.17877746300421918,-0.20249739053248064,-0.22841053571183872,-0.004126057392214166,0.270155610400473
56,-0.07501208083048895,-0.0628500066050085,0.11560046063148705,0.20267340103914244,0.17007999178551525,0.3031034843890494,0.23620607874165245,-0.12065409734331184,0.21284287641931945,0.2544652905403862,0.18494125277593482,-0.15649432941176342,-0.22904931857118155,-0.22417073894175876,0.018644335920287976,0.2789253548645334
57,-0.1369666951307097,-0.12673201791736585,0.11749403920949417,0.23725515599892777,0.19660336239928092,0.33137180284575773,0.2668432187739834,-0.16189894599130505,0.19261191136504194,0.2678610851058728,0.176842335833384,-0.13959423423107506,-0.2489648129065074,-0.20169831341296102,0.033921210682445,0.290263802591571
58,-0.19727031827891975,-0.18627678428551114,0.11243477008768814,0.25294521969141254,0.20834980924928417,0.33977504169997974,0.27906783992230494,-0.18412437046690688,0.16737055583802918,0.2800017244322537,0.16260042115044804,-0.13336225067056284,-0.2559539503481204,-0.16115849626218445,0.04404154314884913,0.2980587489183362
59,-0.2456322011290468,-0.23247418230759048,0.10176290939094494,0.23922094243254294,0.1922677347583465,0.3279140348741609,0.26222751111667075,-0.18044725039865914,0.14101329707147645,0.28912847488300875,0.14525324889489613,-0.14217166657066624,-0.24446149579570653,-0.10569361382351562,0.047696200036731834,0.3005883073476734
60,-0.2737039967472717,-0.25990059913419594,0.08673952984370147,0.19783462295090928,0.14806975364837827,0.2992970889692843,0.21723723560034516,-0.1484029312851616,0.11733411148709165,0.29465204089856417,0.12922706470220682,-0.16923924637985543,-0.21053775099134447,-0.04051267346056982,0.04671025731047412,0.2979183537030152
61,-0.27476220345302477,-0.2633001017635712,0.07044666056164478,0.14032211218775373,0.08762655643993751,0.2563483104573588,0.15446845782013563,-0.08885833916999268,0.09980358568555009,0.297594242172066,0.11497798042896808,-0.2129650475914545,-0.1552726605019089,0.02403303094640143,0.0475439870717392,0.29216284852557817
62,-0.24558527600300348,-0.23873339714001335,0.05547365695496176,0.08194727813753841,0.027216605874583685,0.20474646474200656,0.08888017236811034,-0.006917833918462458,0.09368602445065383,0.2980644930519407,0.1030766818139693,-0.26907935486139917,-0.08479994028452673,0.0780918559613872,0.04678974282739008,0.28451208443856213
63,-0.18555422419496653,-0.18228395890120802,0.04438295032757034,0.03355369499699995,-0.02427694815268067,0.15565709784726897,0.03130931609543633,0.08550834099910948,0.09841165514287882,0.29419842076458247,0.09315901000818412,-0.3299316624238658,-0.008217450098843703,0.11711901310703149,0.03981024486311412,0.27467468757624014
64,-0.10035197944741857,-0.09677630607251203,0.03936817473455081,-0.0003724790395644044,-0.06509415813121769,0.1200113779265441,-0.01324848335391566,0.17455418702598002,0.11399434416135944,0.2880091520038775,0.086582405066771,-0.3884161403232385,0.06497864804328378,0.14059939693811413,0.025885883289280223,0.26561054279031066
65,-0.000688582088942596,0.007682479776976342,0.04084834692117162,-0.015153302836522555,-0.0912562783522547,0.10520876648400392,-0.03917837891914876,0.24627278125964508,0.139245093003234,0.2840182833481433,0.08311739045087214,-0.4374393077247556,0.12563933389126422,0.15089786127043248,0.0030676833153332225,0.2634917086569649
66,0.09717468141684683,0.11232120466073568,0.04749546019898772,-0.007021351184580148,-0.0989522164766339,0.11548975418847819,-0.042019131049732705,0.2906997984876516,0.17262711296000818,0.28984546843396,0.08448547053476894,-0.4715518400288067,0.16689994450447268,0.15183406742059813,-0.026485110334000854,0.2737543022546533
67,0.17585368477459326,0.19440985672502,0.05848067527009239,0.023779031502250362,-0.08531324101342884,0.15016440287913815,-0.019681478562784217,0.3038506305479042,0.21181200199552108,0.30874589142525277,0.09321572639068293,-0.4875106440621369,0.1857490986421466,0.14412386206178726,-0.058696564180277015,0.29957958487075986
68,0.22273854001402657,0.23658621837241836,0.07015306265245734,0.07624808718108284,-0.04656139168988137,0.20231605932439345,0.02862151519553215,0.28765226969246926,0.25276869305659755,0.33998480534338416,0.10826553649784247,-0.48495271851032784,0.18194204062930538,0.12736918165363167,-0.09431500021397021,0.33972457476847706
69,0.23331645226698186,0.23393529679140043,0.0790918211476665,0.14396062727802278,0.016269629948605615,0.2566136242067464,0.09703212752890455,0.24960559693440573,0.2874645697784673,0.3784470063162663,0.12719266477192662,-0.46499877249824895,0.15728122234854514,0.10222240473356638,-0.12416689791456409,0.3868548132618571
70,0.211768421193754,0.19583342298076173,0.083946827865804,0.21797701294619518,0.09966186499718915,0.2951234859130361,0.1768543833283929,0.2003492030516727,0.31075398980953384,0.4183694952189509,0.14540260537420432,-0.4319396494244701,0.11655576227103007,0.07006146978393749,-0.14238741279750738,0.4320476271834488
71,0.1692604570493083,0.14114905879105458,0.08432098525897191,0.2849560974186042,0.1914510120143046,0.3064420942452156,0.25456116271756773,0.15115112553152685,0.31754689858164464,0.4476577877867448,0.1582602479947466,-0.391458650658812,0.06561201611708359,0.03348165649076107,-0.14306172157304134,0.4631765656663135
72,0.12151252704422082,0.09028394011199686,0.08184939663291177,0.3235596642726823,0.26538211910816123,0.28964423763629216,0.30866094987818776,0.11176561833752129,0.31063766328775183,0.4509120513070386,0.16366653205779796,-0.34837800162286736,0.011106753923090401,-0.006782571861255465,-0.12797454586749213,0.4667535207500839
