	fecha	contaminante	medicion
303	2015-01-03 09:00:00	O3_y.3	10.0
304	2015-01-03 09:00:00	O3_x	7.0
305	2015-01-03 09:00:00	O3_y.1	10.0
306	2015-01-03 10:00:00	O3_y	22.0
307	2015-01-03 10:00:00	O3	11.0
308	2015-01-03 10:00:00	O3_x	16.333333333333332
309	2015-01-03 10:00:00	TMP_x	14.733333333333334
310	2015-01-03 10:00:00	O3_y.2	22.0
311	2015-01-03 10:00:00	O3_y.1	22.0
312	2015-01-03 10:00:00	O3_y.3	22.0
313	2015-01-03 10:00:00	RH_2_x	47.66666666666666
314	2015-01-03 10:00:00	TMP_2_y	17.7
315	2015-01-03 11:00:00	O3_y.1	29.0
316	2015-01-03 11:00:00	TMP_2_y	17.7
317	2015-01-03 11:00:00	RH_2_x	41.75
318	2015-01-03 11:00:00	O3	19.0
319	2015-01-03 11:00:00	O3_y.3	29.0
320	2015-01-03 11:00:00	O3_y.2	29.0
321	2015-01-03 11:00:00	O3_x	23.75
322	2015-01-03 11:00:00	O3_y	29.0
323	2015-01-03 11:00:00	TMP_x	16.6
324	2015-01-03 12:00:00	RH_2_x	36.0
325	2015-01-03 12:00:00	TMP_2_y	19.3
326	2015-01-03 12:00:00	O3_x	26.0
327	2015-01-03 12:00:00	TMP_x	17.125
328	2015-01-03 12:00:00	O3	24.0
329	2015-01-03 12:00:00	O3_y.2	30.0
330	2015-01-03 12:00:00	O3_y.3	30.0
331	2015-01-03 12:00:00	O3_y.1	30.0
332	2015-01-03 12:00:00	O3_y	30.0
333	2015-01-03 13:00:00	RH_2_x	32.25
334	2015-01-03 13:00:00	O3_y.1	33.0
335	2015-01-03 13:00:00	O3	30.0
336	2015-01-03 13:00:00	O3_y.2	33.0
337	2015-01-03 13:00:00	TMP_2_y	19.6
338	2015-01-03 13:00:00	O3_y	33.0
339	2015-01-03 13:00:00	O3_x	32.0
340	2015-01-03 13:00:00	TMP_x	18.925
341	2015-01-03 13:00:00	O3_y.3	33.0
342	2015-01-03 14:00:00	O3	30.0
343	2015-01-03 14:00:00	O3_x	33.0
344	2015-01-03 14:00:00	O3_y.3	38.0
345	2015-01-03 14:00:00	O3_y.1	38.0
346	2015-01-03 14:00:00	TMP_x	19.53333333333333
347	2015-01-03 14:00:00	TMP_2_y	19.9
348	2015-01-03 14:00:00	O3_y.2	38.0
349	2015-01-03 14:00:00	RH_2_x	31.66666666666667
350	2015-01-03 14:00:00	O3_y	38.0
351	2015-01-03 15:00:00	RH_2_x	32.0
352	2015-01-03 15:00:00	O3_y.1	37.0
353	2015-01-03 15:00:00	O3_y	37.0
354	2015-01-03 15:00:00	TMP_x	19.55
355	2015-01-03 15:00:00	O3_y.2	37.0
356	2015-01-03 15:00:00	O3_y.3	37.0
357	2015-01-03 15:00:00	TMP_2_y	20.3
358	2015-01-03 15:00:00	O3	36.0
359	2015-01-03 15:00:00	O3_x	36.5
360	2015-01-03 16:00:00	O3	36.0
361	2015-01-03 16:00:00	TMP_2_y	19.5
362	2015-01-03 16:00:00	O3_y.1	38.0
363	2015-01-03 16:00:00	RH_2_x	31.66666666666667
364	2015-01-03 16:00:00	O3_y.3	38.0
365	2015-01-03 16:00:00	O3_y	38.0
366	2015-01-03 16:00:00	TMP_x	19.9
367	2015-01-03 16:00:00	O3_y.2	38.0
368	2015-01-03 16:00:00	O3_x	37.0
369	2015-01-03 17:00:00	O3	29.0
370	2015-01-03 17:00:00	O3_y.3	37.0
371	2015-01-03 17:00:00	O3_y	37.0
372	2015-01-03 17:00:00	O3_y.2	37.0
373	2015-01-03 17:00:00	TMP_2_y	18.5
374	2015-01-03 17:00:00	RH_2_x	39.0
375	2015-01-03 17:00:00	O3_y.1	37.0
376	2015-01-03 17:00:00	O3_x	32.666666666666664
377	2015-01-03 17:00:00	TMP_x	19.166666666666668
378	2015-01-03 18:00:00	TMP_2_y	17.5
379	2015-01-03 18:00:00	TMP_x	17.566666666666666
380	2015-01-03 18:00:00	O3_y.1	34.0
381	2015-01-03 18:00:00	O3_y.2	34.0
382	2015-01-03 18:00:00	O3_x	25.0
