	fecha	O3_prediccion	medicion
259	2015-01-02 21:00:00	O3forecast_1	10.0
260	2015-01-02 21:00:00	O3forecast_9	29.0
261	2015-01-02 21:00:00	O3forecast_8	29.0
262	2015-01-02 21:00:00	O3forecast_5	19.0
263	2015-01-02 21:00:00	O3forecast_10	36.0
264	2015-01-02 22:00:00	O3forecast_3	11.0
265	2015-01-02 22:00:00	O3forecast_2	11.0
266	2015-01-02 22:00:00	O3forecast_1	11.0
267	2015-01-02 22:00:00	O3forecast_8	19.0
268	2015-01-02 22:00:00	O3forecast_9	19.0
269	2015-01-02 22:00:00	O3forecast_6	10.0
270	2015-01-02 22:00:00	O3forecast_5	10.0
271	2015-01-02 22:00:00	O3forecast_4	10.0
272	2015-01-02 22:00:00	O3forecast_7	10.0
273	2015-01-02 22:00:00	O3forecast_12	29.0
274	2015-01-02 22:00:00	O3forecast_11	27.0
275	2015-01-02 22:00:00	O3forecast_10	19.0
276	2015-01-02 23:00:00	O3forecast_5	11.0
277	2015-01-02 23:00:00	O3forecast_2	5.0
278	2015-01-02 23:00:00	O3forecast_4	11.0
279	2015-01-02 23:00:00	O3forecast_11	10.0
280	2015-01-02 23:00:00	O3forecast_12	19.0
281	2015-01-02 23:00:00	O3forecast_1	5.0
282	2015-01-02 23:00:00	O3forecast_10	10.0
283	2015-01-02 23:00:00	O3forecast_6	11.0
284	2015-01-02 23:00:00	O3forecast_8	10.0
285	2015-01-02 23:00:00	O3forecast_7	11.0
286	2015-01-02 23:00:00	O3forecast_9	10.0
287	2015-01-02 23:00:00	O3forecast_3	5.0
288	2015-01-03 00:00:00	O3forecast_1	3.0
289	2015-01-03 00:00:00	O3forecast_2	3.0
290	2015-01-03 00:00:00	O3forecast_4	3.0
291	2015-01-03 00:00:00	O3forecast_5	3.0
292	2015-01-03 00:00:00	O3forecast_7	4.0
293	2015-01-03 00:00:00	O3forecast_8	11.0
294	2015-01-03 00:00:00	O3forecast_9	11.0
295	2015-01-03 00:00:00	O3forecast_11	11.0
296	2015-01-03 00:00:00	O3forecast_6	3.0
297	2015-01-03 00:00:00	O3forecast_3	3.0
298	2015-01-03 00:00:00	O3forecast_10	11.0
299	2015-01-03 00:00:00	O3forecast_12	18.0
300	2015-01-03 01:00:00	O3forecast_12	19.0
301	2015-01-03 01:00:00	O3forecast_2	11.0
302	2015-01-03 01:00:00	O3forecast_8	17.0
303	2015-01-03 01:00:00	O3forecast_3	11.0
304	2015-01-03 01:00:00	O3forecast_4	21.0
305	2015-01-03 01:00:00	O3forecast_5	21.0
306	2015-01-03 01:00:00	O3forecast_11	15.0
307	2015-01-03 01:00:00	O3forecast_10	15.0
308	2015-01-03 01:00:00	O3forecast_1	11.0
309	2015-01-03 01:00:00	O3forecast_9	17.0
310	2015-01-03 01:00:00	O3forecast_6	21.0
311	2015-01-03 01:00:00	O3forecast_7	21.0
312	2015-01-03 02:00:00	O3forecast_9	21.0
313	2015-01-03 02:00:00	O3forecast_4	6.0
314	2015-01-03 02:00:00	O3forecast_2	6.0
315	2015-01-03 02:00:00	O3forecast_12	17.0
316	2015-01-03 02:00:00	O3forecast_6	11.0
317	2015-01-03 02:00:00	O3forecast_3	6.0
318	2015-01-03 02:00:00	O3forecast_5	11.0
319	2015-01-03 02:00:00	O3forecast_11	21.0
320	2015-01-03 02:00:00	O3forecast_1	8.0
321	2015-01-03 02:00:00	O3forecast_8	21.0
322	2015-01-03 02:00:00	O3forecast_10	21.0
323	2015-01-03 02:00:00	O3forecast_7	11.0
324	2015-01-03 03:00:00	O3forecast_7	6.0
325	2015-01-03 03:00:00	O3forecast_3	8.0
326	2015-01-03 03:00:00	O3forecast_1	9.0
327	2015-01-03 03:00:00	O3forecast_8	6.0
328	2015-01-03 03:00:00	O3forecast_10	11.0
329	2015-01-03 03:00:00	O3forecast_6	6.0
330	2015-01-03 03:00:00	O3forecast_4	8.0
331	2015-01-03 03:00:00	O3forecast_11	11.0
332	2015-01-03 03:00:00	O3forecast_5	8.0
333	2015-01-03 03:00:00	O3forecast_2	8.0
334	2015-01-03 03:00:00	O3forecast_12	21.0
335	2015-01-03 03:00:00	O3forecast_9	11.0
336	2015-01-03 04:00:00	O3forecast_5	9.0
337	2015-01-03 04:00:00	O3forecast_10	6.0
338	2015-01-03 04:00:00	O3forecast_8	8.0
339	2015-01-03 04:00:00	O3forecast_1	11.0
340	2015-01-03 04:00:00	O3forecast_11	6.0
341	2015-01-03 04:00:00	O3forecast_2	11.0
342	2015-01-03 04:00:00	O3forecast_12	6.0
343	2015-01-03 04:00:00	O3forecast_7	8.0
344	2015-01-03 04:00:00	O3forecast_4	11.0
345	2015-01-03 04:00:00	O3forecast_3	11.0
346	2015-01-03 04:00:00	O3forecast_6	8.0
347	2015-01-03 04:00:00	O3forecast_9	8.0
348	2015-01-03 05:00:00	O3forecast_5	11.0
349	2015-01-03 05:00:00	O3forecast_6	11.0
350	2015-01-03 05:00:00	O3forecast_7	11.0
351	2015-01-03 05:00:00	O3forecast_2	13.0
352	2015-01-03 05:00:00	O3forecast_11	8.0
353	2015-01-03 05:00:00	O3forecast_9	9.0
354	2015-01-03 05:00:00	O3forecast_8	11.0
355	2015-01-03 05:00:00	O3forecast_10	8.0
356	2015-01-03 05:00:00	O3forecast_12	8.0
357	2015-01-03 05:00:00	O3forecast_1	13.0
358	2015-01-03 05:00:00	O3forecast_3	13.0
359	2015-01-03 05:00:00	O3forecast_4	9.0
360	2015-01-03 06:00:00	O3forecast_10	11.0
361	2015-01-03 06:00:00	O3forecast_3	17.0
362	2015-01-03 06:00:00	O3forecast_12	11.0
363	2015-01-03 06:00:00	O3forecast_5	13.0
364	2015-01-03 06:00:00	O3forecast_9	11.0
365	2015-01-03 06:00:00	O3forecast_7	13.0
366	2015-01-03 06:00:00	O3forecast_6	13.0
367	2015-01-03 06:00:00	O3forecast_4	13.0
368	2015-01-03 06:00:00	O3forecast_11	11.0
369	2015-01-03 06:00:00	O3forecast_2	17.0
370	2015-01-03 06:00:00	O3forecast_1	17.0
371	2015-01-03 06:00:00	O3forecast_8	9.0
372	2015-01-03 07:00:00	O3forecast_1	4.0
373	2015-01-03 07:00:00	O3forecast_6	17.0
374	2015-01-03 07:00:00	O3forecast_3	9.0
375	2015-01-03 07:00:00	O3forecast_8	13.0
376	2015-01-03 07:00:00	O3forecast_2	9.0
377	2015-01-03 07:00:00	O3forecast_9	13.0
378	2015-01-03 07:00:00	O3forecast_5	17.0
379	2015-01-03 07:00:00	O3forecast_7	17.0
380	2015-01-03 07:00:00	O3forecast_11	13.0
381	2015-01-03 07:00:00	O3forecast_10	13.0
382	2015-01-03 07:00:00	O3forecast_4	17.0
383	2015-01-03 07:00:00	O3forecast_12	9.0
384	2015-01-03 08:00:00	O3forecast_11	17.0
385	2015-01-03 08:00:00	O3forecast_5	4.0
386	2015-01-03 08:00:00	O3forecast_8	17.0
387	2015-01-03 08:00:00	O3forecast_1	5.0
388	2015-01-03 08:00:00	O3forecast_4	4.0
389	2015-01-03 08:00:00	O3forecast_9	17.0
