contaminante,valor,horas
NOX,0.31063115854124007,17.0
NOX,0.3089044213220422,18.0
NOX,0.30683294584008924,19.0
NOX,0.304358508089853,20.0
NOX,0.30119466932083533,21.0
NOX,0.2971707991552391,22.0
NOX,0.2918332440724234,23.0
NOX,0.2853176040108178,24.0
NOX,0.2786402130767858,25.0
NOX,0.27223265285457154,26.0
NOX,0.2664332126611038,27.0
NOX,0.2613638920686453,28.0
NOX,0.2569935583899175,29.0
NOX,0.25306329867463356,30.0
NOX,0.24954630006728024,31.0
NOX,0.24623018865917176,32.0
NOX,0.24274511312611344,33.0
NOX,0.23936441374167552,34.0
NOX,0.2361594360991667,35.0
NOX,0.23313253035573064,36.0
NOX,0.23040614060005457,37.0
NOX,0.22792392477140208,38.0
NOX,0.22549388989510208,39.0
NOX,0.222712897160981,40.0
NOX,0.21956766377531,41.0
NOX,0.2164126478816284,42.0
NOX,0.2132662909651345,43.0
NOX,0.21039364761058382,44.0
NOX,0.20761750934341158,45.0
NOX,0.20469491416958974,46.0
NOX,0.2014259448702848,47.0
NOX,0.19824559071230247,48.0
NOX,0.19511011170347556,49.0
NOX,0.19242301851076382,50.0
NOX,0.19011761792745854,51.0
NOX,0.18859747677506913,52.0
NOX,0.18788430548759869,53.0
NOX,0.18769800425621755,54.0
NOX,0.18762839493620315,55.0
NOX,0.18770122619998383,56.0
NOX,0.18773789113118003,57.0
NOX,0.18776465792611832,58.0
NOX,0.1877414670827382,59.0
NOX,0.18772137549308243,60.0
NOX,0.1873493895195818,61.0
NOX,0.1866627891087682,62.0
NOX,0.18582563998774582,63.0
NOX,0.18470603940426436,64.0
NOX,0.18313770103128213,65.0
NOX,0.18195430834857831,66.0
NOX,0.18085809765366925,67.0
NOX,0.17993570113209623,68.0
NOX,0.17919057904827373,69.0
NOX,0.17836617068635863,70.0
NOX,0.17762017631416085,71.0
NOX,0.1771414292943784,72.0
O3,0.24938760819149644,1.0
O3,0.2515797056557361,2.0
O3,0.25314212786425605,3.0
O3,0.2542783228529923,4.0
O3,0.25497231125335457,5.0
O3,0.25529415824807994,6.0
O3,0.2554499947727515,7.0
O3,0.2553515596136632,8.0
O3,0.2548427142262128,9.0
O3,0.2540142508216226,10.0
O3,0.2528835837869247,11.0
O3,0.2516129364579994,12.0
O3,0.2501034993375816,13.0
O3,0.24820763517019806,14.0
O3,0.2460585558301988,15.0
O3,0.24376501516981805,16.0
O3,0.24144212363343387,17.0
O3,0.23885250670321403,18.0
O3,0.23595569041863687,19.0
O3,0.23263284905832976,20.0
O3,0.22902734115828144,21.0
O3,0.22508785404138443,22.0
O3,0.22100619206526573,23.0
O3,0.21728418354903262,24.0
O3,0.2137204902665132,25.0
O3,0.21052149297525805,26.0
O3,0.2075435795347147,27.0
O3,0.20467452152402268,28.0
O3,0.20183702641832796,29.0
O3,0.1989156681005676,30.0
O3,0.19595122612596216,31.0
O3,0.1929806186987321,32.0
O3,0.18985612650455302,33.0
O3,0.18670469145313168,34.0
O3,0.18361290635986677,35.0
O3,0.18059194046390237,36.0
O3,0.17768299621041908,37.0
O3,0.17493842685580774,38.0
O3,0.1721161159943922,39.0
O3,0.1693642102057102,40.0
O3,0.1667127912774723,41.0
O3,0.16395258354806486,42.0
O3,0.16111542604463971,43.0
O3,0.15843000423150738,44.0
O3,0.15595553174618063,45.0
O3,0.15360015529884052,46.0
O3,0.1513979581516642,47.0
O3,0.1494708913589569,48.0
O3,0.14773389324522,49.0
O3,0.14621701543356486,50.0
O3,0.1447466442992476,51.0
O3,0.14335639903198794,52.0
O3,0.1418252622373151,53.0
O3,0.1401452349954513,54.0
O3,0.13844105414143976,55.0
O3,0.13681715577598036,56.0
O3,0.13537208054209496,57.0
O3,0.13385165836558044,58.0
O3,0.1323342153324533,59.0
O3,0.1308466652789365,60.0
O3,0.1294901864033622,61.0
O3,0.12854533285952546,62.0
O3,0.12794211705448869,63.0
O3,0.1275235900155633,64.0
O3,0.12725654479066498,65.0
O3,0.1267382204634936,66.0
O3,0.12599070982188385,67.0
O3,0.1250746675684662,68.0
O3,0.12415930797492364,69.0
O3,0.12333083355850753,70.0
O3,0.12254765203297414,71.0
O3,0.12168508493460774,72.0
PM10,0.5219119920467838,1.0
PM10,0.5334679512271736,2.0
PM10,0.5429770940392538,3.0
PM10,0.5513415303565334,4.0
PM10,0.558475106546356,5.0
PM10,0.56454699687455,6.0
PM10,0.5692573808409958,7.0
PM10,0.573223513837404,8.0
PM10,0.5756905393681173,9.0
PM10,0.5773338951853335,10.0
PM10,0.5782907733012856,11.0
PM10,0.5781314839491142,12.0
PM10,0.5771238521291243,13.0
PM10,0.5752592991163771,14.0
PM10,0.5727350743795061,15.0
PM10,0.5694980144930117,16.0
PM10,0.5652879320276696,17.0
PM10,0.5600267089996834,18.0
PM10,0.5538407701400306,19.0
PM10,0.5466646197719012,20.0
PM10,0.5376743696552186,21.0
PM10,0.526137015652553,22.0
PM10,0.5117390100429697,23.0
PM10,0.49475810296498096,24.0
PM10,0.4799388453455268,25.0
PM10,0.4662177121700773,26.0
PM10,0.4533961981760874,27.0
PM10,0.44174972347261293,28.0
PM10,0.43094708925543884,29.0
PM10,0.4209102799428672,30.0
PM10,0.41201446306637335,31.0
PM10,0.4041218553337487,32.0
PM10,0.39676007281009834,33.0
PM10,0.39010948231194165,34.0
PM10,0.3844620697506767,35.0
PM10,0.37933695781526294,36.0
PM10,0.37427774924925716,37.0
PM10,0.3695947460651102,38.0
PM10,0.36485379099227766,39.0
PM10,0.3598104153853683,40.0
PM10,0.3550261119329022,41.0
PM10,0.35049233552365616,42.0
PM10,0.3464308415381827,43.0
PM10,0.34245407891885815,44.0
PM10,0.33840017568809644,45.0
PM10,0.3341832249776375,46.0
PM10,0.32967138390308337,47.0
PM10,0.3249919164685287,48.0
PM10,0.32064379261586134,49.0
PM10,0.3166906972009702,50.0
PM10,0.3133859775388272,51.0
PM10,0.3103954350770902,52.0
PM10,0.3080075060568973,53.0
PM10,0.3064922919904525,54.0
PM10,0.30478010371513564,55.0
PM10,0.3032334439747959,56.0
PM10,0.30180361691340596,57.0
PM10,0.3003800742565498,58.0
PM10,0.2991847069061925,59.0
PM10,0.2983407095500566,60.0
PM10,0.29714278649892223,61.0
PM10,0.2958973660175235,62.0
PM10,0.294879022044818,63.0
PM10,0.2934638264049048,64.0
PM10,0.29175665353604024,65.0
PM10,0.29038070782663683,66.0
PM10,0.28901314769334974,67.0
PM10,0.28806701251719835,68.0
PM10,0.2873352838138489,69.0
PM10,0.2867604486713733,70.0
PM10,0.28660298368357706,71.0
PM10,0.2859712469582035,72.0
PM2.5,0.59525938656129,1.0
PM2.5,0.6126851211403642,2.0
PM2.5,0.6272514557464703,3.0
PM2.5,0.6393998654771892,4.0
PM2.5,0.6493368466663103,5.0
PM2.5,0.6575686509224705,6.0
PM2.5,0.6641915455501151,7.0
PM2.5,0.6692242732384228,8.0
PM2.5,0.6729628741999866,9.0
PM2.5,0.6756585601924527,10.0
PM2.5,0.6771694639945529,11.0
PM2.5,0.6777577060619873,12.0
PM2.5,0.6771424164920007,13.0
PM2.5,0.6751284259436016,14.0
PM2.5,0.6722304593249928,15.0
PM2.5,0.6678381361357186,16.0
PM2.5,0.6617796708625004,17.0
PM2.5,0.6543679950598217,18.0
PM2.5,0.6447352057295085,19.0
PM2.5,0.6329641292772782,20.0
PM2.5,0.618687446382266,21.0
PM2.5,0.6007292429428419,22.0
PM2.5,0.5789843518586699,23.0
PM2.5,0.5532655311873502,24.0
PM2.5,0.5314112965032032,25.0
PM2.5,0.5119243776978009,26.0
PM2.5,0.49434791036652315,27.0
PM2.5,0.4787042478866105,28.0
PM2.5,0.4642166246922286,29.0
PM2.5,0.4510619882430203,30.0
PM2.5,0.439451303950066,31.0
PM2.5,0.42896879466551247,32.0
PM2.5,0.419305218889625,33.0
PM2.5,0.41047315302523635,34.0
PM2.5,0.4026610120579209,35.0
PM2.5,0.39535809974054,36.0
PM2.5,0.38876891399844493,37.0
PM2.5,0.3820676826719314,38.0
PM2.5,0.3755818811750287,39.0
PM2.5,0.36903864961748734,40.0
PM2.5,0.36287486043289985,41.0
PM2.5,0.3567143026601541,42.0
PM2.5,0.3505992831204464,43.0
PM2.5,0.344652723389923,44.0
PM2.5,0.3385468700422858,45.0
PM2.5,0.3320481065893218,46.0
PM2.5,0.32538566558241694,47.0
PM2.5,0.3187630981387208,48.0
PM2.5,0.3124462637196633,49.0
PM2.5,0.30629687273930317,50.0
PM2.5,0.3008266982304514,51.0
