contaminante,valor,horas
NO2,0.15179766000901446,41.0
NO2,0.12370423659873898,42.0
NO2,0.07258705964696556,43.0
NO2,0.0032518486566782464,44.0
NO2,-0.06958300338905991,45.0
NO2,-0.12655304994651514,46.0
NO2,-0.15052764353257503,47.0
NO2,-0.13146294485015095,48.0
NO2,-0.0695343885071195,49.0
NO2,0.022433703876825268,50.0
NO2,0.1216120071430313,51.0
NO2,0.20355683515816161,52.0
NO2,0.2507653030155187,53.0
NO2,0.255448861445377,54.0
NO2,0.22101970798869158,55.0
NO2,0.16418180070096822,56.0
NO2,0.1060122445958327,57.0
NO2,0.06048183171711014,58.0
NO2,0.03357256312402583,59.0
NO2,0.028854995341070104,60.0
NO2,0.045800547260437544,61.0
NO2,0.07683444948425454,62.0
NO2,0.10809792034566555,63.0
NO2,0.1258580755004642,64.0
NO2,0.12238309118458308,65.0
NO2,0.09549064791229177,66.0
NO2,0.04582202342736132,67.0
NO2,-0.021132640183293878,68.0
NO2,-0.09180959423821645,69.0
NO2,-0.14720529498233592,70.0
NO2,-0.17007541403275284,71.0
NO2,-0.15107974378082267,72.0
NOX,-0.27980889884907484,1.0
NOX,-0.17558058345616995,2.0
NOX,-0.03387690272423422,3.0
NOX,0.12892319735032862,4.0
NOX,0.29017827832900556,5.0
NOX,0.42296965955667554,6.0
NOX,0.5031171506232861,7.0
NOX,0.517724555194062,8.0
NOX,0.4728631324157725,9.0
NOX,0.3871852826635367,10.0
NOX,0.2845701278002981,11.0
NOX,0.19025739209658732,12.0
NOX,0.11593571055217672,13.0
NOX,0.06294963956975473,14.0
NOX,0.025400170449334555,15.0
NOX,-0.004987939607090231,16.0
NOX,-0.037570231872968214,17.0
NOX,-0.07958934514744907,18.0
NOX,-0.134385655894328,19.0
NOX,-0.1974721049532053,20.0
NOX,-0.26015328013159966,21.0
NOX,-0.31351249703095374,22.0
NOX,-0.3440764513971617,23.0
NOX,-0.3380716141178108,24.0
NOX,-0.28417550212948384,25.0
NOX,-0.18125781977799546,26.0
NOX,-0.04215670469003927,27.0
NOX,0.11791854351900932,28.0
NOX,0.2763136813758565,29.0
NOX,0.4071951724903466,30.0
NOX,0.4857320832211777,31.0
NOX,0.49978434299075863,32.0
NOX,0.4533390868831101,33.0
NOX,0.36685435137837963,34.0
NOX,0.26514098637791894,35.0
NOX,0.1717119470232918,36.0
NOX,0.09761197819661523,37.0
NOX,0.04434269499717426,38.0
NOX,0.006601541271180135,39.0
NOX,-0.02293792560221108,40.0
NOX,-0.05468206186423548,41.0
NOX,-0.09515606248747635,42.0
NOX,-0.14793231434035461,43.0
NOX,-0.2099114273411678,44.0
NOX,-0.2720491312046733,45.0
NOX,-0.3242108904325642,46.0
NOX,-0.35452288386156766,47.0
NOX,-0.3489499882749046,48.0
NOX,-0.2963741098949009,49.0
NOX,-0.19463447811212725,50.0
NOX,-0.056269009199840556,51.0
NOX,0.10248545877746823,52.0
NOX,0.2594823443231114,53.0
NOX,0.3885028771670572,54.0
NOX,0.4649691424603685,55.0
NOX,0.47803304051345247,56.0
NOX,0.43318554488945205,57.0
NOX,0.34892621744837754,58.0
NOX,0.24972788771210722,59.0
NOX,0.15834325282694395,60.0
NOX,0.0858779634126234,61.0
NOX,0.03423647216956055,62.0
NOX,-0.0027021405059432326,63.0
NOX,-0.03298018893504133,64.0
NOX,-0.06559238303844081,65.0
NOX,-0.10706263821537522,66.0
NOX,-0.15881348509536028,67.0
NOX,-0.21874998572099172,68.0
NOX,-0.27899400754457293,69.0
NOX,-0.33063964111943306,70.0
NOX,-0.36060470154629504,71.0
NOX,-0.3554989319543589,72.0
O3,0.9341852361437463,1.0
O3,0.7973036167533966,2.0
O3,0.6198385419379573,3.0
