,contaminante,valor,horas
117,NO,0.31518421092129123,31
118,NO,0.31524135814908705,32
119,NO,0.33224968468449106,33
120,NO,0.33517332740151257,34
121,NO,0.32641310064048296,35
122,NO,0.3378769060117963,36
123,NO,0.3454216924560057,37
124,NO,0.34295587666226,38
125,NO,0.34209371337761496,39
126,NO,0.3334699540386544,40
127,NO,0.3421198169564187,41
128,NO,0.3229679810746089,42
129,NO,0.3309129193932342,43
130,NO,0.3192578490626234,44
131,NO,0.30878399235751075,45
132,NO,0.30982265064929315,46
133,NO,0.2990818978669769,47
134,NO,0.28229353009233216,48
135,NO,0.27792682599363355,49
136,NO,0.2667837621360328,50
137,NO,0.25901325857435004,51
138,NO,0.24349209325064305,52
139,NO,0.2356114526521628,53
140,NO,0.2213984988563901,54
141,NO,0.2119368483059512,55
142,NO,0.1950106026929179,56
143,NO,0.1919464189593034,57
144,NO,0.17453508624306646,58
145,NO,0.15901168385149558,59
159,NO2,-0.15756397486251128,1
160,NO2,-0.15354958234332114,2
181,NO2,0.1604481125591757,23
183,NO2,0.15537899447583553,25
184,NO2,0.17323969752903398,26
