,contaminante,valor,horas
381,PM10,0.39379305100453954,7
382,PM10,0.41002183271089876,8
383,PM10,0.35281171111096693,9
384,PM10,0.42650596313064343,10
385,PM10,0.3459970287608812,11
386,PM10,0.44759063830145857,12
387,PM10,0.34405694508284185,13
388,PM10,0.40963762734175874,14
389,PM10,0.40914689706921625,15
390,PM10,0.3948991749137263,16
391,PM10,0.3379681737074334,17
392,PM10,0.4192745247953311,18
393,PM10,0.3431302266971432,19
394,PM10,0.41898134224014943,20
395,PM10,0.400580370965725,21
396,PM10,0.341759372544019,22
397,PM10,0.33887243698633573,23
398,PM10,0.4431388256129334,24
399,PM10,0.3725867975180313,25
400,PM10,0.34007417846658783,26
401,PM10,0.3564828539332854,27
402,PM10,0.3925643711002402,28
403,PM10,0.33682292958074533,29
404,PM10,0.4252321734234219,30
405,PM10,0.3187226295584416,31
406,PM10,0.37396060290475497,32
407,PM10,0.33252442866589305,33
408,PM10,0.34191567325490946,34
409,PM10,0.4021440516825609,35
410,PM10,0.3666736262417377,36
411,PM10,0.31983178507964627,37
412,PM10,0.3349449722659288,38
413,PM10,0.33329249743068573,39
414,PM10,0.3847790168398148,40
415,PM10,0.31272609883418967,41
416,PM10,0.38358810307692015,42
417,PM10,0.30773266366591506,43
418,PM10,0.33169771488430416,44
419,PM10,0.3516203599942926,45
420,PM10,0.3130933935980679,46
421,PM10,0.3123134322257834,47
422,PM10,0.3659267927555279,48
423,PM10,0.3254635195235574,49
424,PM10,0.3280080513049103,50
425,PM10,0.3041303384878855,51
426,PM10,0.31098393822166376,52
427,PM10,0.306487191140156,53
428,PM10,0.33659769343477275,54
429,PM10,0.3122337872533463,55
430,PM10,0.33215860880655346,56
431,PM10,0.2830916882235137,57
432,PM10,0.2900944142113489,58
433,PM10,0.30251978752116093,59
434,PM10,0.3298599652777534,60
435,PM10,0.28139154651905596,61
436,PM10,0.28774287491790684,62
437,PM10,0.2964950514800773,63
438,PM10,0.2948682468107659,64
439,PM10,0.2817845313376262,65
440,PM10,0.29092411471576907,66
441,PM10,0.2682536667709223,67
442,PM10,0.27270278191976494,68
443,PM10,0.2796411854598699,69
444,PM10,0.28612686498570894,70
445,PM10,0.2537555559994757,71
446,PM10,0.28126647423158757,72
447,PM2.5,0.3172425381628135,1
448,PM2.5,0.34595067158237747,2
449,PM2.5,0.3671266907315388,3
450,PM2.5,0.3630527485181649,4
451,PM2.5,0.3848458570367457,5
452,PM2.5,0.37855317979095027,6
453,PM2.5,0.36705888450997204,7
454,PM2.5,0.38335655716299294,8
455,PM2.5,0.3438287462185414,9
456,PM2.5,0.3924678976007311,10
457,PM2.5,0.3424718600552704,11
458,PM2.5,0.4001265707481372,12
459,PM2.5,0.33925299554753924,13
460,PM2.5,0.380903068255069,14
461,PM2.5,0.37583128295669455,15
462,PM2.5,0.3681614019616329,16
463,PM2.5,0.34270191605311556,17
464,PM2.5,0.38573336558421883,18
465,PM2.5,0.3387797900042385,19
466,PM2.5,0.37912393395276167,20
467,PM2.5,0.3750315012944187,21
468,PM2.5,0.34508552156108196,22
469,PM2.5,0.33152179692109723,23
470,PM2.5,0.3962188067054673,24
471,PM2.5,0.35845611026768437,25
472,PM2.5,0.3359161168236511,26
473,PM2.5,0.345092773206428,27
474,PM2.5,0.3723255517716876,28
475,PM2.5,0.33115730550617484,29
476,PM2.5,0.38400183714487096,30
477,PM2.5,0.3203309065409577,31
478,PM2.5,0.3579067699360156,32
479,PM2.5,0.3338728381344645,33
480,PM2.5,0.32941701299722764,34
481,PM2.5,0.3703039574068256,35
482,PM2.5,0.3470864911194318,36
483,PM2.5,0.3182373938341155,37
484,PM2.5,0.33387307729327675,38
485,PM2.5,0.3224676657939847,39
486,PM2.5,0.35789334482541807,40
487,PM2.5,0.3079581487651735,41
488,PM2.5,0.3553276842942772,42
489,PM2.5,0.30956479208276594,43
490,PM2.5,0.31674891573055824,44
491,PM2.5,0.33454857446619907,45
492,PM2.5,0.3114167241501353,46
493,PM2.5,0.30302077091655233,47
494,PM2.5,0.3359409818423374,48
495,PM2.5,0.31428799082492487,49
496,PM2.5,0.31079045595955035,50
497,PM2.5,0.2980571584964217,51
498,PM2.5,0.303332949288901,52
499,PM2.5,0.2961847838397059,53
500,PM2.5,0.31505590566049485,54
501,PM2.5,0.2916793194414144,55
502,PM2.5,0.31030343754714446,56
503,PM2.5,0.2811496173015629,57
504,PM2.5,0.27947812415189877,58
505,PM2.5,0.28819152368964196,59
506,PM2.5,0.3012692783524531,60
507,PM2.5,0.27273954914290777,61
508,PM2.5,0.27397565070457175,62
509,PM2.5,0.27789151809394114,63
510,PM2.5,0.27845563662162437,64
511,PM2.5,0.26398317586591663,65
512,PM2.5,0.27112353458910093,66
513,PM2.5,0.258100713314122,67
514,PM2.5,0.2567582142734817,68
515,PM2.5,0.2604622815043245,69
516,PM2.5,0.26261895749676223,70
517,PM2.5,0.24034300286498395,71
518,PM2.5,0.256164282892266,72
591,SO2,0.19093211950995834,1
592,SO2,0.1788758289986969,2
593,SO2,0.18366249827296818,3
594,SO2,0.17934494644719287,4
595,SO2,0.18374960579531663,5
596,SO2,0.18838339558345976,6
597,SO2,0.1871599824423414,7
598,SO2,0.19301200061876342,8
599,SO2,0.1847558869031565,9
600,SO2,0.18979890089737864,10
601,SO2,0.17709555737922233,11
602,SO2,0.1938558663802841,12
603,SO2,0.18380423455074887,13
604,SO2,0.18403094739911127,14
605,SO2,0.1906361685696183,15
606,SO2,0.19338527825161003,16
607,SO2,0.17318047445775525,17
608,SO2,0.19285330820034807,18
609,SO2,0.181252405726502,19
610,SO2,0.18346094661568763,20
611,SO2,0.19895832892217272,21
